Crop,State,Category,Moisture_Content_Percent,Optimal_Storage_Temp_Min_C,Optimal_Storage_Temp_Max_C,Optimal_Relative_Humidity_Min,Optimal_Relative_Humidity_Max,Room_Temp_Shelf_Life_Days,Cold_Storage_Shelf_Life_Days,Heat_Sensitivity_Level,Chilling_Sensitivity,Typical_Post_Harvest_Loss_Percent,Perishability_Level,Recommended_Storage_Type,Respiration_Rate_Level,Ethylene_Sensitivity
Potato,Bihar,Tuber,79,4,10,90,95,32,88,Medium,No,15,Medium,Cool Dark Storage,Medium,Low
Mango,Bihar,Fruit,83,12,14,85,90,6,18,High,Yes,31,High,Cold Storage,High,High
Onion,Punjab,Bulb,89,0,5,65,75,58,153,Low,No,9,Low,Dry Ventilated Storage,Low,Low
Carrot,Uttar Pradesh,Root,88,0,2,90,95,9,119,Medium,No,16,Medium,Cold Storage,Medium,Low
Cabbage,Maharashtra,Vegetable,92,0,5,90,95,7,61,Medium,No,20,Medium,Cold Storage,Medium,Medium
Banana,Bihar,Fruit,74,13,15,85,95,3,22,High,Yes,33,High,Cold Storage,Very High,High
Grapes,Gujarat,Fruit,81,0,1,90,95,6,60,Medium,No,14,Medium,Cold Storage,Medium,Medium
Grapes,Andhra Pradesh,Fruit,81,0,1,90,95,9,56,Medium,No,15,Medium,Cold Storage,Medium,Medium
Chili (Green),Punjab,Vegetable,88,7,10,85,90,7,17,High,Yes,27,High,Cold Storage,High,Medium
Mango,Punjab,Fruit,83,12,14,85,90,7,22,High,Yes,32,High,Cold Storage,High,High
Onion,Andhra Pradesh,Bulb,89,0,5,65,75,58,149,Low,No,8,Low,Dry Ventilated Storage,Low,Low
Tomato,Uttar Pradesh,Vegetable,94,10,12,85,95,3,15,High,Yes,21,High,Cold Storage / Ventilated Crates,High,High
Banana,Bihar,Fruit,74,13,15,85,95,7,28,High,Yes,32,High,Cold Storage,Very High,High
Cabbage,Andhra Pradesh,Vegetable,92,0,5,90,95,9,55,Medium,No,18,Medium,Cold Storage,Medium,Medium
Tomato,Madhya Pradesh,Vegetable,94,10,12,85,95,3,16,High,Yes,18,High,Cold Storage / Ventilated Crates,High,High
Mango,Tamil Nadu,Fruit,83,12,14,85,90,9,18,High,Yes,30,High,Cold Storage,High,High
Potato,Rajasthan,Tuber,79,4,10,90,95,30,94,Medium,No,11,Medium,Cool Dark Storage,Medium,Low
Apple,Madhya Pradesh,Fruit,84,0,4,90,95,30,175,Low,No,9,Low,Controlled Atmosphere Storage,Low,Medium
Cauliflower,Tamil Nadu,Vegetable,92,0,2,90,95,3,22,Medium,No,19,Medium,Cold Storage,Medium,Medium
Apple,Gujarat,Fruit,84,0,4,90,95,31,176,Low,No,8,Low,Controlled Atmosphere Storage,Low,Medium
Grapes,Uttar Pradesh,Fruit,81,0,1,90,95,5,55,Medium,No,15,Medium,Cold Storage,Medium,Medium
Cabbage,Punjab,Vegetable,92,0,5,90,95,9,62,Medium,No,16,Medium,Cold Storage,Medium,Medium
Carrot,Bihar,Root,88,0,2,90,95,10,119,Medium,No,18,Medium,Cold Storage,Medium,Low
Mango,Karnataka,Fruit,83,12,14,85,90,9,26,High,Yes,27,High,Cold Storage,High,High
Apple,Bihar,Fruit,84,0,4,90,95,29,181,Low,No,6,Low,Controlled Atmosphere Storage,Low,Medium
Chili (Green),Rajasthan,Vegetable,88,7,10,85,90,5,17,High,Yes,26,High,Cold Storage,High,Medium
Grapes,Bihar,Fruit,81,0,1,90,95,6,63,Medium,No,18,Medium,Cold Storage,Medium,Medium
Mango,Tamil Nadu,Fruit,83,12,14,85,90,6,17,High,Yes,29,High,Cold Storage,High,High
Potato,Madhya Pradesh,Tuber,79,4,10,90,95,30,94,Medium,No,14,Medium,Cool Dark Storage,Medium,Low
Mango,Uttar Pradesh,Fruit,83,12,14,85,90,5,23,High,Yes,31,High,Cold Storage,High,High
Chili (Green),Bihar,Vegetable,88,7,10,85,90,3,21,High,Yes,25,High,Cold Storage,High,Medium
Onion,Maharashtra,Bulb,89,0,5,65,75,58,154,Low,No,7,Low,Dry Ventilated Storage,Low,Low
Brinjal,Bihar,Vegetable,92,8,12,90,95,6,12,High,Yes,21,High,Cold Storage,High,High
Tomato,Maharashtra,Vegetable,94,10,12,85,95,7,15,High,Yes,23,High,Cold Storage / Ventilated Crates,High,High
Apple,Madhya Pradesh,Fruit,84,0,4,90,95,32,182,Low,No,6,Low,Controlled Atmosphere Storage,Low,Medium
Potato,Maharashtra,Tuber,79,4,10,90,95,28,86,Medium,No,14,Medium,Cool Dark Storage,Medium,Low
Cabbage,Gujarat,Vegetable,92,0,5,90,95,6,58,Medium,No,21,Medium,Cold Storage,Medium,Medium
Banana,Gujarat,Fruit,74,13,15,85,95,6,28,High,Yes,37,High,Cold Storage,Very High,High
Onion,Karnataka,Bulb,89,0,5,65,75,58,146,Low,No,13,Low,Dry Ventilated Storage,Low,Low
Grapes,Gujarat,Fruit,81,0,1,90,95,8,61,Medium,No,15,Medium,Cold Storage,Medium,Medium
Cauliflower,Uttar Pradesh,Vegetable,92,0,2,90,95,4,21,Medium,No,17,Medium,Cold Storage,Medium,Medium
Brinjal,Madhya Pradesh,Vegetable,92,8,12,90,95,2,12,High,Yes,22,High,Cold Storage,High,High
Cabbage,Punjab,Vegetable,92,0,5,90,95,8,58,Medium,No,18,Medium,Cold Storage,Medium,Medium
Banana,Andhra Pradesh,Fruit,74,13,15,85,95,6,27,High,Yes,36,High,Cold Storage,Very High,High
Carrot,Gujarat,Root,88,0,2,90,95,12,122,Medium,No,12,Medium,Cold Storage,Medium,Low
Cauliflower,Karnataka,Vegetable,92,0,2,90,95,3,17,Medium,No,22,Medium,Cold Storage,Medium,Medium
Apple,Karnataka,Fruit,84,0,4,90,95,30,181,Low,No,10,Low,Controlled Atmosphere Storage,Low,Medium
Tomato,Tamil Nadu,Vegetable,94,10,12,85,95,4,13,High,Yes,18,High,Cold Storage / Ventilated Crates,High,High
Onion,Rajasthan,Bulb,89,0,5,65,75,58,153,Low,No,13,Low,Dry Ventilated Storage,Low,Low
Cauliflower,Bihar,Vegetable,92,0,2,90,95,6,20,Medium,No,22,Medium,Cold Storage,Medium,Medium
